"adresse";"cedex";"code_commune";"code_postal";"commune";"complement_destinataire";"complement_point_geographique";"email";"enseigne_commerciale_site";"finess_etablissement_juridique";"finess_site";"identifiant_organisation";"indice_repetition_voie";"mention_distribution";"numero_voie";"pays";"raison_sociale_site";"siren_site";"siret_site";"telecopie";"telephone";"telephone_2";"type_voie";"voie"
"64 Rue COMMERSON 01400";"01400 CHATILLON SUR CHALARONNE";"";"01400";"";"SARL PATRICE SAUNIER";"";"";"";"";"";"C39806996300054";"";"";"64";"France";"SARL PATRICE SAUNIER";"";"39806996300054";"";"";"";"Rue";"COMMERSON"
"900 Route DE PARIS 01440 Viriat";"01440 VIRIAT";"01451";"01440";"Viriat";"";"";"dirg@ch-bourg01.fr";"";"010780054";"";"F010000024";"";"";"900";"France";"CH DE FLEYRIAT";"010000024";"26010004500012";"0474454114";"0474454647";"";"Route";"DE PARIS"
"Zone industrielle DU CORON 01300 Belley";"01300 BELLEY";"01034";"01300";"Belley";"";"";"foyer.virieu@odyneo.fr";"";"690791108";"";"F010784502";"";"";"";"France";"ESAT DU COLOMBIER";"010784502";"77564325700345";"0479875332";"0479876006";"";"Zone industrielle";"DU CORON"
"131 Rue JEAN MONNET 01960 Péronnas";"01960 PERONNAS";"01289";"01960";"Péronnas";"";"";"ancolies@mutain.com";"";"010787109";"";"F010789204";"";"";"131";"France";"EHPAD LES ANCOLIES PERONNAS";"010789204";"44429988700026";"0474328499";"0474328400";"";"Rue";"JEAN MONNET"
"150 Route DE CRANGEAT 01440";"01440 VIRIAT";"";"01440";"";"SCP DENEUVE-MICHON-BERGER-CURT";"";"";"";"";"";"C38874257900013";"";"";"150";"France";"SCP DENEUVE-MICHON-BERGER-CURT";"";"38874257900013";"";"0474253411";"";"Route";"DE CRANGEAT"
"Route VEISSIEUX LE HAUT 01600 Reyrieux";"01600 REYRIEUX";"01322";"01600";"Reyrieux";"";"ESPACE TALENCONNAIS";"";"";"010787604";"";"F010007284";"";"";"";"France";"SOINS ET SANTE VAL-DE-SAONE";"010007284";"";"0474001081";"0474003517";"";"Route";"VEISSIEUX LE HAUT"
"Avenue FELIX MANGINI 01110 Plateau d'Hauteville";"01110 HAUTEVILLE LOMPNES";"01185";"01110";"Plateau d'Hauteville";"";"";"secret.direction@chph01.fr";"";"010007987";"";"F010000198";"";"BP 41";"";"France";"CH PUBLIC HAUTEVILLE - UNITE INTERDEPT";"010000198";"26011019200051";"0474408073";"0474408165";"";"Avenue";"FELIX MANGINI"
"7 Rue DU CHÂTEAU 01420 Chanay";"01420 CHANAY";"01082";"01420";"Chanay";"";"";"";"";"750005068";"";"F010780476";"";"";"7";"France";"CENTRE SSR READAPT ADOLESCENTS CHANAY";"010780476";"44192191300204";"0450568014";"0450568000";"";"Rue";"DU CHÂTEAU"
"52 Rue GEORGES GIRERD 01300 Belley";"01300 BELLEY";"01034";"01300";"Belley";"";"";"";"";"010780062";"";"F010000032";"";"BP 139";"52";"France";"CH DE BELLEY";"010000032";"26010003700019";"0479425996";"0479425959";"";"Rue";"GEORGES GIRERD"
"Avenue DE MARBOZ 01012 Bourg-en-Bresse";"01012 BOURG EN BRESSE CEDEX";"01053";"01012";"Bourg-en-Bresse";"";"";"";"";"010783009";"";"F010000495";"";"";"";"France";"CENTRE PSYCHOTHERAPIQUE DE L'AIN";"010000495";"77554456200108";"0474522899";"0474522911";"";"Avenue";"DE MARBOZ"
